anchor_a	anchor_b	games	a_wins	draws	b_wins	score_a	pass	informative
maia1100	maia700	8	7	0	1	0.8750	probe	false
maia1100	maia1500	24	4	10	10	0.3750	measure	true
maia1500	maia1900	24	4	6	14	0.2917	measure	true
maia1900	maia2300	24	6	6	12	0.3750	measure	true
sf0	sf3	8	0	1	7	0.0625	probe	false
sf3	sf5	24	4	2	18	0.2083	measure	true
sf5	sf8	24	2	2	20	0.1250	measure	false
sf10	sf8	8	6	2	0	0.8750	probe	false
maia1500	sf0	8	7	0	1	0.8750	probe	false
maia1100	sf0	8	8	0	0	1.0000	probe	false
maia1900	sf3	8	6	2	0	0.8750	probe	false
maia1500	sf3	8	5	3	0	0.8125	probe	false
maia2300	sf5	8	6	1	1	0.8125	probe	false
maia1900	sf5	24	11	5	8	0.5625	measure	true
maia2300	sf8	24	2	11	11	0.3125	measure	true
maia1900	sf8	24	4	6	14	0.2917	measure	true
maia2300	sf10	24	2	9	13	0.2708	measure	true
maia1900	sf10	24	1	8	15	0.2083	measure	true
maia1900	sf0	8	7	0	1	0.8750	probe	false
maia700	sf0	24	14	1	9	0.6042	measure	true
maia2300	sf3	8	8	0	0	1.0000	probe	false
maia1100	sf3	24	8	5	11	0.4375	measure	true
maia1500	sf5	24	10	5	9	0.5208	measure	true
maia2300	sf0	8	7	0	1	0.8750	probe	false
maia700	sf3	8	0	0	8	0.0000	probe	false
maia1100	sf5	24	6	1	17	0.2708	measure	true
maia700	sf5	24	2	3	19	0.1458	measure	false

metadata	value
seed	1
stockfish_procs	12
git_sha	a2f96e81
caveat	internal scale — NOT human ELO; downstream fit fixes maia1500 = 1500
