bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha
1100	0	maia1100	20	1	0	19	0.0500	10	0	0	10	0.0000	10	1	0	9	0.1000	1	400	8	4	da9cd366
1100	0	maia1300	20	5	0	15	0.2500	10	3	0	7	0.3000	10	2	0	8	0.2000	1	400	8	4	da9cd366
1100	0	maia1500	20	0	0	20	0.0000	10	0	0	10	0.0000	10	0	0	10	0.0000	1	400	8	4	da9cd366
1100	0	maia1700	20	0	0	20	0.0000	10	0	0	10	0.0000	10	0	0	10	0.0000	1	400	8	4	da9cd366
1100	0	maia1900	20	0	0	20	0.0000	10	0	0	10	0.0000	10	0	0	10	0.0000	1	400	8	4	da9cd366
1100	0	sf0	20	4	0	16	0.2000	10	3	0	7	0.3000	10	1	0	9	0.1000	1	400	8	4	da9cd366
1100	0	sf3	20	3	1	16	0.1750	10	3	0	7	0.3000	10	0	1	9	0.0500	1	400	8	4	da9cd366
1100	0	sf5	20	0	0	20	0.0000	10	0	0	10	0.0000	10	0	0	10	0.0000	1	400	8	4	da9cd366
1500	0	maia1100	20	5	0	15	0.2500	10	3	0	7	0.3000	10	2	0	8	0.2000	1	400	8	4	da9cd366
1500	0	maia1300	20	4	3	13	0.2750	10	4	2	4	0.5000	10	0	1	9	0.0500	1	400	8	4	da9cd366
1500	0	maia1500	20	0	0	20	0.0000	10	0	0	10	0.0000	10	0	0	10	0.0000	1	400	8	4	da9cd366
1500	0	maia1700	20	0	1	19	0.0250	10	0	0	10	0.0000	10	0	1	9	0.0500	1	400	8	4	da9cd366
1500	0	maia1900	20	0	0	20	0.0000	10	0	0	10	0.0000	10	0	0	10	0.0000	1	400	8	4	da9cd366
1500	0	sf0	20	9	0	11	0.4500	10	4	0	6	0.4000	10	5	0	5	0.5000	1	400	8	4	da9cd366
1500	0	sf3	20	2	0	18	0.1000	10	2	0	8	0.2000	10	0	0	10	0.0000	1	400	8	4	da9cd366
1500	0	sf5	20	0	0	20	0.0000	10	0	0	10	0.0000	10	0	0	10	0.0000	1	400	8	4	da9cd366
1900	0	maia1100	20	9	3	8	0.5250	10	3	1	6	0.3500	10	6	2	2	0.7000	1	400	8	4	da9cd366
1900	0	maia1300	20	9	0	11	0.4500	10	5	0	5	0.5000	10	4	0	6	0.4000	1	400	8	4	da9cd366
1900	0	maia1500	20	9	0	11	0.4500	10	4	0	6	0.4000	10	5	0	5	0.5000	1	400	8	4	da9cd366
1900	0	maia1700	20	4	1	15	0.2250	10	3	1	6	0.3500	10	1	0	9	0.1000	1	400	8	4	da9cd366
1900	0	maia1900	20	7	1	12	0.3750	10	5	0	5	0.5000	10	2	1	7	0.2500	1	400	8	4	da9cd366
1900	0	sf0	20	13	0	7	0.6500	10	6	0	4	0.6000	10	7	0	3	0.7000	1	400	8	4	da9cd366
1900	0	sf3	20	7	0	13	0.3500	10	4	0	6	0.4000	10	3	0	7	0.3000	1	400	8	4	da9cd366
1900	0	sf5	20	2	0	18	0.1000	10	1	0	9	0.1000	10	1	0	9	0.1000	1	400	8	4	da9cd366
