style	lever	feature	baseline_freq	styled_freq	delta
Attacker	prior_reweighting	isCheck	0.0185	0.0281	0.0096
Attacker	prior_reweighting	isCapture	0.0759	0.1075	0.0316
Attacker	prior_reweighting	isPawnAdvance	0.342	0.3524	0.0104
Attacker	prior_reweighting	isPawnStorm	0.0915	0.1293	0.0378
Attacker	prior_reweighting	isExchange	0.0608	0.0883	0.0275
Attacker	prior_reweighting	isRetreat	0.0034	0.0019	-0.0015
Trickster	prior_reweighting	isCheck	0.0185	0.0232	0.0046
Trickster	prior_reweighting	isCapture	0.0759	0.0791	0.0032
Trickster	prior_reweighting	isPawnAdvance	0.342	0.3412	-0.0008
Trickster	prior_reweighting	isPawnStorm	0.0915	0.0947	0.0031
Trickster	prior_reweighting	isExchange	0.0608	0.0618	0.001
Trickster	prior_reweighting	isRetreat	0.0034	0.0033	-0.0001
Grinder	prior_reweighting	isCheck	0.0185	0.0182	-0.0003
Grinder	prior_reweighting	isCapture	0.0759	0.0901	0.0143
Grinder	prior_reweighting	isPawnAdvance	0.342	0.3303	-0.0116
Grinder	prior_reweighting	isPawnStorm	0.0915	0.0958	0.0042
Grinder	prior_reweighting	isExchange	0.0608	0.0743	0.0134
Grinder	prior_reweighting	isRetreat	0.0034	0.0034	0
Wall	prior_reweighting	isCheck	0.0185	0.0155	-0.003
Wall	prior_reweighting	isCapture	0.0759	0.0881	0.0123
Wall	prior_reweighting	isPawnAdvance	0.342	0.3044	-0.0375
Wall	prior_reweighting	isPawnStorm	0.0915	0.0824	-0.0091
Wall	prior_reweighting	isExchange	0.0608	0.0729	0.0121
Wall	prior_reweighting	isRetreat	0.0034	0.0042	0.0008
Attacker	score_shaping	isCheck	0.01	0.0127	0.0026
Attacker	score_shaping	isCapture	0.0972	0.0974	0.0002
Attacker	score_shaping	isPawnAdvance	0.2809	0.2842	0.0033
Attacker	score_shaping	isPawnStorm	0.1093	0.1118	0.0026
Attacker	score_shaping	isExchange	0.0889	0.087	-0.0019
Attacker	score_shaping	isRetreat	0.0099	0.0088	-0.0011
Trickster	score_shaping	isCheck	0.01	0.0158	0.0058
Trickster	score_shaping	isCapture	0.0972	0.0981	0.0008
Trickster	score_shaping	isPawnAdvance	0.2809	0.2878	0.0068
Trickster	score_shaping	isPawnStorm	0.1093	0.1149	0.0057
Trickster	score_shaping	isExchange	0.0889	0.0851	-0.0038
Trickster	score_shaping	isRetreat	0.0099	0.0077	-0.0022
Grinder	score_shaping	isCheck	0.01	0.0079	-0.0021
Grinder	score_shaping	isCapture	0.0972	0.0975	0.0003
Grinder	score_shaping	isPawnAdvance	0.2809	0.2779	-0.003
Grinder	score_shaping	isPawnStorm	0.1093	0.1074	-0.0019
Grinder	score_shaping	isExchange	0.0889	0.0909	0.0019
Grinder	score_shaping	isRetreat	0.0099	0.0111	0.0012
Wall	score_shaping	isCheck	0.01	0.0066	-0.0034
Wall	score_shaping	isCapture	0.0972	0.0961	-0.0011
Wall	score_shaping	isPawnAdvance	0.2809	0.2845	0.0036
Wall	score_shaping	isPawnStorm	0.1093	0.1055	-0.0038
Wall	score_shaping	isExchange	0.0889	0.0897	0.0008
Wall	score_shaping	isRetreat	0.0099	0.0132	0.0033

# sampled_positions=200 elo=1000 seed=1 score_shaping_tau=0.075
